source_file,link_text,target_node
Organizations/HASTAC Leadership.md,Sharon Daniel,Sharon Daniel
Organizations/HASTAC Leadership.md,Caitlin Fisher,Caitlin Fisher
Organizations/HASTAC Leadership.md,Geraldine Heng,Geraldine Heng
Organizations/HASTAC Leadership.md,Nick Montfort,Nick Montfort
Organizations/HASTAC Leadership.md,Timothy Murray,Timothy Murray
Organizations/HASTAC Leadership.md,Joyce Rudinsky,Joyce Rudinsky
Organizations/HASTAC Leadership.md,Patrik Svensson,Patrik Svensson
Organizations/HASTAC Leadership.md,Brendesha Tynes,Brendesha Tynes
Organizations/HASTAC Leadership.md,S. Craig Watkins,S. Craig Watkins
Organizations/HASTAC Leadership.md,Paul Wouters,Paul Wouters
Organizations/HASTAC Leadership.md,Ruzena Bajcsy,Ruzena Bajcsy
Organizations/HASTAC Leadership.md,John Seely Brown,John Seely Brown
Organizations/HASTAC Leadership.md,Allison Clark,Allison Clark
Organizations/HASTAC Leadership.md,Tom MacCalla,Tom MacCalla
Organizations/HASTAC Leadership.md,Mark Olson,Mark Olson
Organizations/HASTAC Leadership.md,Jentery Sayers,Jentery Sayers
Organizations/HASTAC Leadership.md,Ruzena Bajcsy,Ruzena Bajcsy
Organizations/HASTAC Leadership.md,Anne Balsamo,Anne Balsamo
Organizations/HASTAC Leadership.md,Simone Browne,Simone Browne
Organizations/HASTAC Leadership.md,Wendy Hui Kyong Chun,Wendy Hui Kyong Chun
Organizations/HASTAC Leadership.md,Allison Clark,Allison Clark
Organizations/HASTAC Leadership.md,Dan Cohen,Dan Cohen
Organizations/HASTAC Leadership.md,Sharon Daniel,Sharon Daniel
Organizations/HASTAC Leadership.md,Cathy N. Davidson,Cathy N. Davidson
Organizations/HASTAC Leadership.md,Kevin Franklin,Kevin Franklin
Organizations/HASTAC Leadership.md,David Theo Goldberg,David Theo Goldberg
Organizations/HASTAC Leadership.md,Geraldine Heng,Geraldine Heng
Organizations/HASTAC Leadership.md,Daniel Herwitz,Daniel Herwitz
Organizations/HASTAC Leadership.md,Thomas Maccalla,Thomas Maccalla
Organizations/HASTAC Leadership.md,Tara McPherson,Tara McPherson
Organizations/HASTAC Leadership.md,Nick Montfort,Nick Montfort
Organizations/HASTAC Leadership.md,Mark Olson,Mark Olson
Organizations/HASTAC Leadership.md,Joyce Rudinsky,Joyce Rudinsky
Organizations/HASTAC Leadership.md,Jentery Sayers,Jentery Sayers
Organizations/HASTAC Leadership.md,Brendesha Tynes,Brendesha Tynes
Organizations/HASTAC Leadership.md,Kathleen Woodward,Kathleen Woodward
Organizations/HASTAC Leadership.md,Paul Wouters,Paul Wouters
Organizations/HASTAC Leadership.md,Ruzena Bajcsy,Ruzena Bajcsy
Organizations/HASTAC Leadership.md,Anne Balsamo,Anne Balsamo
Organizations/HASTAC Leadership.md,Simone Browne,Simone Browne
Organizations/HASTAC Leadership.md,Wendy Hui Kyong Chun,Wendy Hui Kyong Chun
Organizations/HASTAC Leadership.md,Allison Clark,Allison Clark
Organizations/HASTAC Leadership.md,Sharon Daniel,Sharon Daniel
Organizations/HASTAC Leadership.md,Cathy N. Davidson,Cathy N. Davidson
Organizations/HASTAC Leadership.md,Kevin Franklin,Kevin Franklin
Organizations/HASTAC Leadership.md,David Theo Goldberg,David Theo Goldberg
Organizations/HASTAC Leadership.md,Geraldine Heng,Geraldine Heng
Organizations/HASTAC Leadership.md,Daniel Herwitz,Daniel Herwitz
Organizations/HASTAC Leadership.md,Julie Thompson Klein,Julie Thompson Klein
Organizations/HASTAC Leadership.md,Thomas Maccalla,Thomas Maccalla
Organizations/HASTAC Leadership.md,Tara McPherson,Tara McPherson
Organizations/HASTAC Leadership.md,Nick Montfort,Nick Montfort
Organizations/HASTAC Leadership.md,Timothy Murray,Timothy Murray
Organizations/HASTAC Leadership.md,Mark Olson,Mark Olson
Organizations/HASTAC Leadership.md,Joyce Rudinsky,Joyce Rudinsky
Organizations/HASTAC Leadership.md,Douglas Thomas,Douglas Thomas
Organizations/HASTAC Leadership.md,Brendesha Tynes,Brendesha Tynes
Organizations/HASTAC Leadership.md,Kathleen Woodward,Kathleen Woodward
Organizations/HASTAC Leadership.md,Ruzena Bajcsy,Ruzena Bajcsy
Organizations/HASTAC Leadership.md,Anne Balsamo,Anne Balsamo
Organizations/HASTAC Leadership.md,Allison Clark,Allison Clark
Organizations/HASTAC Leadership.md,Cathy N. Davidson,Cathy N. Davidson
Organizations/HASTAC Leadership.md,Kevin Franklin,Kevin Franklin
Organizations/HASTAC Leadership.md,David Theo Goldberg,David Theo Goldberg
Organizations/HASTAC Leadership.md,Daniel Herwitz,Daniel Herwitz
Organizations/HASTAC Leadership.md,Julie Thompson Klein,Julie Thompson Klein
Organizations/HASTAC Leadership.md,Henry Lowood,Henry Lowood
Organizations/HASTAC Leadership.md,Thomas Maccalla,Thomas Maccalla
Organizations/HASTAC Leadership.md,Stephenie McLean,Stephenie McLean
Organizations/HASTAC Leadership.md,Tara McPherson,Tara McPherson
Organizations/HASTAC Leadership.md,Mark Olson,Mark Olson
Organizations/HASTAC Leadership.md,Douglas Thomas,Douglas Thomas
Organizations/HASTAC Leadership.md,Kathleen Woodward,Kathleen Woodward
Organizations/Arabic E-Lit.md,Reham Hosny,Reham Hosny
Organizations/Arabic E-Lit.md,Charles Baldwin,Charles Baldwin
Organizations/Arabic E-Lit.md,Reham Hosny,Reham Hosny
Organizations/Arabic E-Lit.md,Ibrahim Ahmed Melhem,Ibrahim Ahmed Melhem
Organizations/Arabic E-Lit.md,Mohamed Asleem,Mohamed Asleem
Organizations/Arabic E-Lit.md,Labeba Al-Khemar,Labeba Al-Khemar
Organizations/Arabic E-Lit.md,Said Yaktine,Said Yaktine
Organizations/Arabic E-Lit.md,Mhmed Dahi,Mhmed Dahi
Organizations/Arabic E-Lit.md,Zohor Gourram,Zohor Gourram
Organizations/Arabic E-Lit.md,Fatima Gueddou,Fatima Gueddou
Organizations/Arabic E-Lit.md,Ahmed Fadl Shablul,Ahmed Fadl Shablul
Organizations/Arabic E-Lit.md,Said Bengrad,Said Bengrad
Organizations/Arabic E-Lit.md,Mohamed Motassim,Mohamed Motassim
Organizations/Arabic E-Lit.md,Badr Elaouni,Badr Elaouni
Organizations/Arabic E-Lit.md,Alsayed Abdelaziz Negm,Alsayed Abdelaziz Negm
Organizations/Arabic E-Lit.md,Saed Al-Wakeel,Saed Al-Wakeel
Organizations/Arabic E-Lit.md,Mohamed Hussein Habib,Mohamed Hussein Habib
Organizations/Arabic E-Lit.md,Mohamed Sanajlah,Mohamed Sanajlah
Organizations/Arabic E-Lit.md,Abeer Salama,Abeer Salama
Organizations/Arabic E-Lit.md,Fatima Al-buriky,Fatima Al-buriky
Organizations/Arabic E-Lit.md,Abdel-Fatah Sabry,Abdel-Fatah Sabry
Organizations/Arabic E-Lit.md,Brahim Abdel-Noor,Brahim Abdel-Noor
Organizations/Arabic E-Lit.md,Zarfawy Omar,Zarfawy Omar
Organizations/Arabic E-Lit.md,khadija bellaoudou,khadija bellaoudou
Organizations/Arabic E-Lit.md,Abdel-Kader Fahim Shaibany,Abdel-Kader Fahim Shaibany
Organizations/Arabic E-Lit.md,Fayza Yakhlif,Fayza Yakhlif
Organizations/Arabic E-Lit.md,Hossam Al-Khatib,Hossam Al-Khatib
Organizations/Arabic E-Lit.md,Khaled Alruwaiei,Khaled Alruwaiei
Organizations/Arabic E-Lit.md,Adil Natheer,Adil Natheer
Organizations/Arabic E-Lit.md,Rahman Garkan,Rahman Garkan
Organizations/Arabic E-Lit.md,Ayad Ibrahim Al-Bawi,Ayad Ibrahim Al-Bawi
Organizations/Arabic E-Lit.md,Hani Alselwy,Hani Alselwy
Organizations/Arabic E-Lit.md,Mushtaq Abbas Maan,Mushtaq Abbas Maan
